Source,Target
353070,1969
254128,80278
338766,339692
454227,640
9509,460321
429197,769
123553,24021
281957,398181
45269,38050
37799,201088
340674,2898
447332,110415
273248,44115
210577,392044
468362,401469
72190,131634
152601,604
569547,335984
13649,786
333371,984
121046,149467
295011,336843
4982,4133
472734,84892
263115,1452
337167,392044
470044,281957
37799,65754
406990,75780
315837,9323
106646,517331
359940,395834
378064,449176
395991,228150
514619,527435
369523,376867
414191,75638
19913,489
6977,101
466411,294254
381283,281957
23168,84892
395841,4771
489931,209247
241554,10651
68718,33
205596,10139
458594,357096
243683,273153
9339,263109
500852,64912
459910,2034
361292,622
65754,395834
438650,357096
470229,133805
157336,126889
462919,2976
194662,383498
395841,75780
62764,9092
470229,238636
464502,458594
388,531593
413362,4771
393519,338189
448776,769
273481,4771
405774,131631
120467,97630
150689,10882
395992,126889
419478,4951
321741,10637
302946,59967
84892,398818
1402,2539
11321,415086
350,279641
334543,467952
15472,397837
312221,319888
446101,10035
454227,424
484247,336843
447332,11472
4982,2034
346672,24021
398181,769
340674,824
46738,1598
561,9651
340613,843
426426,171274
10184,10641
18239,50620
384018,168259
491418,9364
450465,1452
4922,458737
400535,2320
363676,2320
11036,7555
273248,9350
2502,562
222935,308369
405774,198663
433498,467952
429197,75
438650,74997
486947,11001
106646,400535
378064,11887
23168,24418
77338,2898
424694,397538
68718,862
123553,50619
9509,984
392044,7007
45269,339397
353070,531593
46738,185
171274,9880
395841,357096
49047,2067
419743,10139
346672,140300
451925,1903
446791,769
176147,370663
399170,949
502682,448514
335797,9598
361292,561
487558,371638
273481,345887
385332,281957
157336,2048
264660,274870
455980,390043
470894,44912
453201,346685
315837,201088
400535,4771
341174,336843
487670,141052
7326,449176
346685,49022
401905,2048
467952,369885
8982,278927
50620,36648
10947,74018
316029,451915
340613,340666
314365,11931
375366,294254
205587,314365
171274,8966
295011,72190
440298,1903
27022,566810
75174,5915
168672,9366
278927,9502
109424,381288
244761,275
18239,49017
8982,16608
205587,413362
381284,487558
483184,458594
440161,3090
1949,12150
332562,254470
171274,769
455980,363676
443009,451915
242582,449443
10947,11887
491418,36536
449176,26280
49026,59859
413362,445954
124905,15766
339692,345887
228150,424
401847,769
244761,9039
446354,424
244761,74997
11322,1369
6479,603
381283,588
24253,1949
414191,428449
421792,21766
398173,10781
458594,74997
372058,8392
398818,26371
19913,49950
339988,296
335797,9447
18239,24021
333371,1571
1966,26280
1402,8916
242582,218
254172,49519
24253,15472
334541,493922
375785,398818
388,562
8456,345887
446101,4421
321741,424
315837,1571
375262,449176
176147,9813
472734,296096
399170,2153
338768,201
296096,43923
398181,133805
399055,9738
508763,75780
475132,425336
272,49521
8456,391757
561,408220
424694,1420
406990,984
2502,1571
87827,9836
503346,9555
472451,377154
396371,413362
426426,112160
335797,260514
329865,126889
1422,37645
338768,199
363676,10559
338766,429200
49047,274870
491584,10072
486947,6933
220882,198663
398818,449176
425972,405774
429417,452507
207932,37645
401469,1572
1966,511785
385360,562
395991,49017
296098,954
254128,8656
446791,74997
484247,84892
487558,769
2253,2320
70,1371
286217,75174
169917,398181
53182,57165
457136,401847
370663,52371
369885,13752
150689,11224
303858,12162
401847,152532
169917,37645
401545,364689
419478,74018
241554,445954
375366,336843
1422,20676
454652,363676
11036,1366
453201,392044
339103,4836
455207,11931
341174,7007
338768,172
472451,400547
296098,1374
384018,337339
503346,7453
222935,90369
53182,18823
454652,487558
389015,396371
455980,460019
46738,21575
16869,228150
445954,281957
41233,11631
168672,769
400617,167073
508763,392044
381284,686
254128,11123
370663,511785
324786,374720
490132,449176
315635,1924
399170,339403
1966,449176
154400,64689
537996,9394
419478,10625
500852,23483
500852,524
301337,335984
476292,370663
433498,769
333371,562
150540,812
537996,10156
340674,51828
286217,157336
22972,324786
440472,10098
37799,97
38,576503
75780,4771
405774,294254
466411,8966
2503,8834
315635,8536
399360,281957
17979,13188
401545,787
286565,13342
301337,605
261470,276
338766,152748
228150,1771
438145,11121
787,2501
254172,40807
407436,10140
157353,201088
332567,135397
353070,755
20533,141052
273481,479
340674,340613
489999,340677
27022,10882
64690,74997
77338,489
76203,19067
50620,50619
440298,1259
16869,1771
1417,809
295011,19908
483184,281957
455980,353486
489999,284276
445954,357096
520360,531593
447332,381283
321741,317557
339988,62
490132,184352
75174,290512
2502,2501
393519,10938
154400,949
1124,75656
401905,198663
65754,1949
385332,345887
7326,15144
302946,400579
37799,10428
334541,345920
491584,1903
314365,511785
339692,979
84892,426613
443009,487558
6479,198663
419743,184352
407436,34584
405774,9813
205596,423
440161,429
112160,449176
446354,891
472451,26280
6479,605
171274,10734
419831,1452
491418,127515
451925,122906
150689,809
264660,82693
449459,180863
17979,13377
68718,1374
295011,170
17979,10147
395841,392044
4922,510
324786,8741
398173,984
11322,10483
401469,398181
319888,9291
395992,2067
244761,345887
450465,155
307081,312221
75780,11423
517331,318846
64682,8966
447332,405774
458737,9552
44214,949
483184,345887
147441,11864
504172,4982
433249,119450
340666,222935
438145,241554
507076,449176
502682,125255
340613,11004
154400,769
474354,1645
517331,401469
369885,289
514619,4170
123553,18239
492258,487558
363676,423
575185,14564
450465,49026
438808,2034
375262,511785
339103,156022
500852,52979
374720,676
5915,424
375262,338189
121046,149465
87827,700
77338,61979
453201,84892
274857,19957
1949,7007
227156,286565
273481,979
339692,4771
